timestamp,arm2_px,arm2_py,arm2_pz,arm2_qw,arm2_qx,arm2_qy,arm2_qz,arm2_gripper
1760941161613,-0.23518,0.391453,1.003989,0.606519,0.156192,0.395036,-0.672075,0
1760941161631,-0.235096,0.387795,1.005891,0.595549,0.131938,0.374885,-0.698123,0
1760941161649,-0.235727,0.384021,1.008129,0.584755,0.105409,0.356127,-0.721196,0
1760941161666,-0.234964,0.3769,1.010945,0.559064,0.053877,0.318293,-0.763698,0
1760941161681,-0.234427,0.368401,1.013114,0.532996,0.002488,0.285422,-0.796519,0
1760941161697,-0.233594,0.360647,1.016482,0.521184,-0.018439,0.271159,-0.809012,0
1760941161713,-0.233614,0.352861,1.019572,0.50878,-0.044877,0.257148,-0.820368,0
1760941161729,-0.206361,0.301777,1.013693,0.529387,-0.039762,0.30197,-0.791822,0
1760941161749,-0.208258,0.299443,1.017501,0.493931,-0.08555,0.245838,-0.829625,0
1760941161765,-0.209929,0.296486,1.021189,0.492666,-0.092497,0.243539,-0.830309,0
1760941161781,-0.210879,0.292577,1.024794,0.485193,-0.110205,0.235138,-0.834957,0
1760941161797,-0.228091,0.310843,1.033445,0.526936,-0.025929,0.723833,-0.444671,0
1760941161813,-0.22659,0.303587,1.036198,0.527681,-0.034277,0.72508,-0.441177,0
1760941161829,-0.225435,0.297331,1.038824,0.536618,-0.025944,0.726506,-0.428436,0
1760941161849,-0.223675,0.289901,1.041028,0.53811,-0.032219,0.727447,-0.424524,0
1760941161865,-0.22243,0.284333,1.043573,0.536166,-0.04358,0.728005,-0.425012,0
1760941161881,-0.221189,0.278789,1.046094,0.540615,-0.043902,0.728988,-0.417593,0
1760941161897,-0.22045,0.275058,1.048969,0.538147,-0.052162,0.730401,-0.417363,0
1760941161913,-0.219598,0.271928,1.051807,0.541132,-0.049606,0.732824,-0.409493,0
1760941161929,-0.218913,0.268879,1.054093,0.540315,-0.055825,0.734202,-0.407297,0
1760941161949,-0.218108,0.266415,1.056344,0.537691,-0.063241,0.735514,-0.407319,0
