timestamp,arm1_px,arm1_py,arm1_pz,arm1_qw,arm1_qx,arm1_qy,arm1_qz,arm1_gripper,arm2_px,arm2_py,arm2_pz,arm2_qw,arm2_qx,arm2_qy,arm2_qz,arm2_gripper
1760941161613,0.291373,0.264925,1.089821,0.821339,0.214484,-0.509219,0.141753,1,-0.235180,0.391453,1.003989,0.606519,0.156192,0.395036,-0.672075,0
1760941161631,0.289044,0.262633,1.090599,0.781645,-0.003414,-0.619162,0.075216,1,-0.235096,0.387795,1.005891,0.595549,0.131938,0.374885,-0.698123,0
1760941161649,0.286574,0.260852,1.091687,0.780775,0.009840,-0.621708,0.061432,1,-0.235727,0.384021,1.008129,0.584755,0.105409,0.356127,-0.721196,0
1760941161666,0.284372,0.257927,1.092603,0.778574,0.005483,-0.623759,0.068689,1,-0.234964,0.376900,1.010945,0.559064,0.053877,0.318293,-0.763698,0
1760941161681,0.282198,0.256414,1.093557,0.778562,0.011711,-0.624427,0.061606,1,-0.234427,0.368401,1.013114,0.532996,0.002488,0.285422,-0.796519,0
1760941161697,0.279876,0.255394,1.094817,0.774782,0.003076,-0.626975,0.081273,1,-0.233594,0.360647,1.016482,0.521184,-0.018439,0.271159,-0.809012,0
1760941161713,0.277706,0.253779,1.095454,0.773320,-0.006647,-0.628188,0.085509,1,-0.233614,0.352861,1.019572,0.508780,-0.044877,0.257148,-0.820368,0
1760941161729,0.299671,0.284966,1.099411,0.729153,0.001200,-0.655251,0.197435,0,-0.206361,0.301777,1.013693,0.529387,-0.039762,0.301970,-0.791822,0
1760941161749,0.291893,0.276034,1.099675,0.777318,0.209293,-0.557512,0.202864,1,-0.208258,0.299443,1.017501,0.493931,-0.085550,0.245838,-0.829625,0
1760941161765,0.286511,0.270004,1.100284,0.787927,0.197326,-0.549892,0.194559,1,-0.209929,0.296486,1.021189,0.492666,-0.092497,0.243539,-0.830309,0
1760941161781,0.281861,0.265202,1.100176,0.799471,0.204004,-0.538303,0.171635,1,-0.210879,0.292577,1.024794,0.485193,-0.110205,0.235138,-0.834957,0
1760941161797,0.278811,0.262038,1.100542,0.809727,0.203526,-0.530944,0.144977,1,-0.228091,0.310843,1.033445,0.526936,-0.025929,0.723833,-0.444671,0
1760941161813,0.276441,0.259423,1.100411,0.818863,0.207994,-0.520169,0.125007,1,-0.226590,0.303587,1.036198,0.527681,-0.034277,0.725080,-0.441177,0
1760941161829,0.274431,0.257452,1.100239,0.823147,0.213560,-0.513488,0.114676,1,-0.225435,0.297331,1.038824,0.536618,-0.025944,0.726506,-0.428436,0
1760941161849,0.272951,0.255969,1.100509,0.827942,0.209278,-0.508382,0.110738,0,-0.223675,0.289901,1.041028,0.538110,-0.032219,0.727447,-0.424524,0
1760941161865,0.272053,0.255673,1.100744,0.829763,0.216784,-0.503968,0.102538,1,-0.222430,0.284333,1.043573,0.536166,-0.043580,0.728005,-0.425012,0
1760941161881,0.270902,0.254740,1.100681,0.836347,0.216462,-0.495841,0.088377,1,-0.221189,0.278789,1.046094,0.540615,-0.043902,0.728988,-0.417593,0
1760941161897,0.270430,0.254329,1.101014,0.833900,0.217408,-0.500178,0.084652,1,-0.220450,0.275058,1.048969,0.538147,-0.052162,0.730401,-0.417363,0
1760941161913,0.270129,0.253837,1.100935,0.834663,0.219696,-0.498035,0.083852,1,-0.219598,0.271928,1.051807,0.541132,-0.049606,0.732824,-0.409493,0
1760941161929,0.269582,0.253889,1.101027,0.831590,0.225669,-0.500481,0.083972,1,-0.218913,0.268879,1.054093,0.540315,-0.055825,0.734202,-0.407297,0
1760941161949,0.269465,0.253245,1.101081,0.834132,0.218899,-0.500009,0.079356,1,-0.218108,0.266415,1.056344,0.537691,-0.063241,0.735514,-0.407319,0
1760941161965,0.269465,0.253245,1.101081,0.838040,0.210576,-0.496920,0.080111,1,-0.084488,0.162123,1.023043,0.624943,-0.076070,0.682138,-0.371951,0
1760941161981,0.269226,0.253210,1.101112,0.837829,0.211642,-0.497887,0.073209,1,-0.114859,0.185355,1.032734,0.589531,-0.073808,0.706770,-0.384033,0
1760941161997,0.269472,0.252734,1.101084,0.835171,0.215238,-0.500440,0.075644,1,-0.139108,0.202972,1.040665,0.575009,-0.060546,0.722094,-0.379840,0
1760941162013,0.269604,0.252704,1.101080,0.837794,0.202877,-0.500741,0.078738,1,-0.156424,0.216303,1.046564,0.563777,-0.064489,0.728205,-0.384335,0
1760941162029,0.269829,0.252682,1.101105,0.835327,0.212650,-0.500529,0.080493,1,-0.170535,0.226477,1.051810,0.563457,-0.046822,0.735845,-0.372633,0
1760941162049,0.270021,0.252862,1.101290,0.829654,0.212956,-0.508465,0.088243,1,-0.180904,0.235001,1.055429,0.559734,-0.043106,0.738956,-0.372537,0
1760941162065,0.270259,0.252898,1.101260,0.830185,0.219759,-0.505268,0.084875,1,-0.187858,0.240328,1.058731,0.559599,-0.036401,0.741594,-0.368189,0
1760941162081,0.270452,0.253078,1.101445,0.829585,0.217652,-0.506944,0.086163,1,-0.194034,0.245663,1.061293,0.562311,-0.022069,0.744969,-0.358246,0
1760941162097,0.270738,0.253511,1.101580,0.829157,0.210164,-0.510043,0.090476,1,-0.198662,0.249811,1.062904,0.546763,-0.049043,0.744381,-0.380187,0
1760941162113,0.270953,0.253742,1.101360,0.828350,0.211232,-0.509684,0.097161,1,-0.202421,0.253309,1.064292,0.553454,-0.030726,0.746746,-0.367580,0
1760941162129,0.271296,0.254365,1.101332,0.828008,0.212530,-0.510039,0.095365,1,-0.205448,0.255626,1.065493,0.549732,-0.034643,0.747427,-0.371413,0
1760941162150,0.271428,0.254595,1.101053,0.828133,0.210605,-0.509410,0.101703,1,-0.208335,0.258477,1.066661,0.545683,-0.039982,0.747885,-0.375897,0
1760941162165,0.271860,0.254812,1.101208,0.825598,0.215522,-0.511839,0.099799,1,-0.209731,0.260909,1.067301,0.547489,-0.032923,0.748666,-0.372386,0
1760941162181,0.272079,0.255131,1.100964,0.819674,0.218288,-0.517448,0.112838,1,-0.210789,0.262402,1.067997,0.542236,-0.039926,0.749105,-0.378453,0
1760941162197,0.272060,0.255311,1.100392,0.824835,0.215556,-0.511751,0.106276,1,-0.211849,0.263897,1.068695,0.547638,-0.026518,0.750190,-0.369602,0
1760941162213,0.272316,0.255948,1.100687,0.821050,0.218395,-0.515974,0.109327,1,-0.211901,0.264563,1.068142,0.545348,-0.032233,0.749280,-0.374347,0
1760941162229,0.272554,0.255985,1.100656,0.817708,0.221515,-0.519970,0.109157,1,-0.212964,0.266062,1.068840,0.548794,-0.022114,0.749916,-0.368731,0
1760941162249,0.272791,0.256802,1.100379,0.821080,0.220939,-0.515566,0.105855,1,-0.213314,0.267020,1.068788,0.543952,-0.029888,0.749509,-0.376110,0
1760941162265,0.272833,0.256933,1.100271,0.825328,0.211065,-0.513989,0.100499,1,-0.214247,0.267719,1.069030,0.540150,-0.040083,0.749075,-0.381469,0
1760941162281,0.272834,0.257194,1.099996,0.826907,0.212045,-0.511452,0.098379,1,-0.214247,0.267719,1.069030,0.544620,-0.030653,0.749630,-0.374839,1
1760941162297,0.273157,0.257738,1.099669,0.829094,0.204343,-0.511502,0.095990,1,-0.220403,0.285358,1.073283,0.527817,-0.033195,0.751898,-0.393645,1
1760941162313,0.273681,0.258485,1.099880,0.827875,0.187318,-0.517426,0.108655,1,-0.219356,0.282479,1.072700,0.520773,-0.053701,0.750287,-0.403709,1
1760941162329,0.273681,0.258746,1.099606,0.831249,0.177839,-0.517493,0.097978,1,-0.218244,0.279474,1.072038,0.522394,-0.057435,0.749716,-0.402158,1
1760941162349,0.273722,0.259416,1.099848,0.829224,0.174728,-0.522077,0.096398,1,-0.217660,0.277319,1.071309,0.519799,-0.068952,0.747927,-0.407014,1
1760941162367,0.274247,0.260165,1.100060,0.798742,0.241185,-0.522366,0.175994,1,-0.217218,0.276124,1.071044,0.481214,-0.194861,0.211420,-0.828109,0
1760941162383,0.274310,0.260885,1.099895,0.781257,0.260177,-0.526007,0.212749,1,-0.216777,0.274931,1.070780,0.527563,-0.158338,0.253693,-0.795139,1
1760941162397,0.274195,0.261417,1.099867,0.784376,0.251797,-0.525001,0.213837,1,-0.216378,0.273911,1.070568,0.582684,-0.114339,0.316023,-0.739956,1
1760941162413,0.274485,0.262115,1.099726,0.746290,0.023140,-0.644526,0.164624,1,-0.216158,0.273316,1.070435,0.491449,-0.183424,0.220656,-0.822280,0
1760941162429,0.274724,0.262152,1.099695,0.791573,0.241901,-0.523522,0.202042,1,-0.215938,0.272721,1.070303,0.608664,-0.090760,0.348279,-0.707101,1
1760941162449,0.275024,0.262927,1.099882,0.749508,0.032433,-0.644115,0.149337,1,-0.216118,0.272343,1.070268,0.488569,-0.191035,0.218615,-0.822809,0
1760941162465,0.275457,0.263147,1.100037,0.780065,0.242416,-0.524699,0.239632,1,-0.216118,0.272343,1.070268,0.615237,-0.080025,0.356582,-0.698519,1
1760941162481,0.275652,0.263329,1.100223,0.779943,0.232647,-0.531036,0.235722,1,-0.216118,0.272343,1.070268,0.621525,-0.067389,0.364676,-0.690056,1
1760941162497,0.275891,0.263367,1.100192,0.762488,0.225571,-0.546201,0.263428,1,-0.215899,0.271749,1.070135,0.619658,-0.070943,0.362546,-0.692497,1
1760941162513,0.276150,0.264012,1.100488,0.765136,0.212574,-0.549157,0.260394,1,-0.215899,0.271749,1.070135,0.623397,-0.064738,0.366302,-0.687756,1
1760941162529,0.276150,0.264012,1.100488,0.785442,0.228280,-0.538843,0.201537,1,-0.215446,0.271848,1.070387,0.618530,-0.073429,0.359812,-0.694669,1
1760941162549,0.276345,0.264195,1.100674,0.782580,0.222333,-0.545738,0.200764,1,-0.215446,0.271848,1.070387,0.617113,-0.076018,0.358376,-0.696390,1
1760941162565,0.276380,0.264303,1.100208,0.765979,0.228054,-0.547217,0.248639,1,-0.215446,0.271848,1.070387,0.620833,-0.070039,0.362616,-0.691499,1
1760941162581,0.276453,0.263899,1.100068,0.756254,0.235240,-0.552832,0.259072,1,-0.215803,0.271893,1.070432,0.620936,-0.070857,0.362797,-0.691228,1
1760941162597,0.276453,0.263899,1.100068,0.775368,0.242328,-0.538671,0.223417,1,-0.215345,0.271871,1.070090,0.623478,-0.061359,0.366060,-0.688121,1
1760941162613,0.276712,0.264544,1.100364,0.769913,0.225076,-0.547694,0.237920,1,-0.215345,0.271871,1.070090,0.618455,-0.070912,0.359940,-0.694930,1
1760941162629,0.276768,0.264735,1.100199,0.812039,0.197236,-0.535009,0.124320,1,-0.216160,0.271937,1.070477,0.623163,-0.064968,0.364540,-0.688881,1
1760941162649,0.276486,0.264827,1.100062,0.807464,0.204678,-0.535996,0.137172,1,-0.216160,0.271937,1.070477,0.613987,-0.081487,0.353970,-0.700774,1
1760941162665,0.276486,0.264827,1.100062,0.805098,0.210072,-0.538113,0.134616,1,-0.216160,0.271937,1.070477,0.617266,-0.075556,0.357759,-0.696622,1
1760941162681,0.276109,0.265045,1.099661,0.805889,0.213928,-0.535417,0.134558,1,-0.216215,0.272399,1.070152,0.618993,-0.069205,0.360170,-0.694504,1
1760941162697,0.275994,0.265319,1.099910,0.805559,0.210456,-0.537348,0.134311,1,-0.216215,0.272399,1.070152,0.615516,-0.077867,0.355252,-0.699195,1
1760941162713,0.275735,0.265197,1.099640,0.806819,0.209840,-0.536118,0.132617,1,-0.216668,0.272300,1.069900,0.619273,-0.071639,0.361573,-0.693277,1
1760941162729,0.275291,0.265250,1.099562,0.810473,0.220410,-0.529177,0.120520,1,-0.216668,0.272300,1.069900,0.617803,-0.073048,0.359358,-0.695590,1
1760941162749,0.275065,0.265272,1.099536,0.811970,0.216587,-0.528353,0.120991,1,-0.216449,0.271706,1.069768,0.618399,-0.072418,0.360805,-0.694376,1
1760941162765,0.274620,0.265338,1.099842,0.809681,0.220398,-0.530948,0.118049,1,-0.216848,0.271923,1.069865,0.625260,-0.058376,0.369052,-0.685159,1
1760941162781,0.274239,0.265342,1.100231,0.809934,0.218322,-0.531314,0.118525,1,-0.217068,0.272517,1.069998,0.619149,-0.069757,0.361636,-0.693547,1
1760941162797,0.273751,0.265537,1.100369,0.810701,0.210487,-0.530583,0.130156,1,-0.217233,0.272649,1.070455,0.619069,-0.073212,0.361372,-0.693400,1
1760941162813,0.273100,0.265175,1.100920,0.808585,0.200187,-0.535299,0.139894,1,-0.217173,0.272843,1.070211,0.604543,-0.101468,0.345330,-0.710618,1
1760941162829,0.272512,0.265272,1.101581,0.810427,0.209008,-0.531145,0.131941,1,-0.217338,0.272975,1.070669,0.610081,-0.091444,0.353089,-0.703397,1
1760941162849,0.271416,0.264961,1.102432,0.807066,0.212691,-0.535251,0.130051,1,-0.217668,0.273239,1.071585,0.609658,-0.093148,0.352906,-0.703632,1
1760941162865,0.270838,0.263662,1.103190,0.803237,0.208960,-0.539647,0.141167,1,-0.217999,0.273501,1.072502,0.607768,-0.094355,0.350067,-0.706518,1
1760941162881,0.269462,0.262889,1.104066,0.804534,0.219301,-0.536210,0.130808,1,-0.218108,0.273166,1.073284,0.616633,-0.073764,0.361939,-0.695214,1
1760941162897,0.267654,0.261374,1.105135,0.805490,0.225387,-0.532974,0.127767,1,-0.218258,0.272359,1.074775,0.615396,-0.077396,0.361443,-0.696173,1
1760941162913,0.266104,0.259625,1.106767,0.804183,0.235755,-0.532031,0.121045,1,-0.218531,0.272147,1.076013,0.612212,-0.078423,0.359624,-0.699798,1
1760941162929,0.264389,0.257685,1.108006,0.802242,0.249249,-0.530918,0.111393,1,-0.218210,0.271130,1.078127,0.596874,-0.105056,0.340835,-0.718705,1
1760941162949,0.262146,0.255351,1.110180,0.804170,0.251838,-0.528097,0.104894,1,-0.218401,0.269808,1.080226,0.587703,-0.119082,0.331430,-0.728408,1
1760941162965,0.260061,0.252517,1.112600,0.804043,0.257172,-0.526425,0.101262,1,-0.218078,0.268103,1.082891,0.586245,-0.118626,0.330616,-0.730026,1
1760941162983,0.257429,0.249473,1.115373,0.805620,0.258642,-0.523839,0.098348,1,-0.217639,0.265272,1.085291,0.589214,-0.113946,0.335113,-0.726322,1
1760941162999,0.255208,0.246647,1.118146,0.810321,0.262552,-0.516588,0.087083,1,-0.216779,0.261896,1.087936,0.580798,-0.123627,0.327033,-0.735146,1
1760941163013,0.252124,0.243233,1.121160,0.812018,0.269816,-0.512470,0.072114,1,-0.216035,0.258117,1.091047,0.585508,-0.113919,0.332457,-0.730531,1
1760941163029,0.248981,0.239422,1.124036,0.810932,0.272342,-0.512966,0.071305,1,-0.214255,0.253781,1.094190,0.579260,-0.122985,0.327137,-0.736420,1
1760941163049,0.245944,0.235605,1.127444,0.810611,0.270276,-0.514050,0.074919,1,-0.212358,0.248319,1.097031,0.572335,-0.133332,0.321248,-0.742600,1
