timestamp,arm1_px,arm1_py,arm1_pz,arm1_qw,arm1_qx,arm1_qy,arm1_qz,arm1_gripper
1760941161613,0.291373,0.264925,1.089821,-0.061498,-0.939290,-0.337564,0.001930,1
1760941161631,0.289044,0.262633,1.090599,-0.077095,-0.996325,-0.037133,0.003711,1
1760941161649,0.286574,0.260852,1.091687,-0.043287,-0.997456,-0.056628,0.001175,1
1760941161666,0.284372,0.257927,1.092603,-0.058568,-0.997199,-0.046478,0.002149,1
1760941161681,0.282198,0.256414,1.093557,-0.035767,-0.998389,-0.044042,0.000803,1
1760941161697,0.279876,0.255394,1.094817,-0.061514,-0.998077,-0.007295,0.002398,1
1760941161713,0.277706,0.253779,1.095454,-0.078305,-0.996913,-0.004130,0.003884,1
1760941161729,0.299671,0.284966,1.099411,-0.265059,-0.961392,-0.052265,0.052314,0
1760941161749,0.291893,0.276034,1.099675,-0.086620,-0.934330,-0.345696,0.004203,1
1760941161765,0.286511,0.270004,1.100284,-0.094022,-0.943242,-0.318483,0.004850,1
1760941161781,0.281861,0.265202,1.100176,-0.047433,-0.944439,-0.325245,0.001184,1
1760941161797,0.278811,0.262038,1.100542,-0.008498,-0.943731,-0.330606,0.000036,1
1760941161813,0.276441,0.259423,1.100411,-0.000807,-0.946707,-0.322095,0.000000,1
1760941161829,0.274431,0.257452,1.100239,0.001655,-0.947448,-0.319905,0.000001,1
1760941161849,0.272951,0.255969,1.100509,-0.007163,-0.947693,-0.319103,0.000026,0
1760941161865,0.272053,0.255673,1.100744,0.007057,-0.945962,-0.324201,0.000025,1
1760941161881,0.270902,0.254740,1.100681,0.022140,-0.947032,-0.320375,0.000248,1
1760941161897,0.270430,0.254329,1.101014,0.039469,-0.944900,-0.324970,0.000787,1
1760941161913,0.270129,0.253837,1.100935,0.041775,-0.944370,-0.326220,0.000879,1
1760941161929,0.269582,0.253889,1.101027,0.054968,-0.941166,-0.333442,0.001512,1
1760941161949,0.269465,0.253245,1.101081,0.058896,-0.942736,-0.328293,0.001733,1
1760941161965,0.269465,0.253245,1.101081,0.044854,-0.945096,-0.323699,0.001003,1
1760941161981,0.269226,0.253210,1.101112,0.061541,-0.941350,-0.331767,0.001891,1
1760941161997,0.269472,0.252734,1.101084,0.057823,-0.942947,-0.327879,0.001682,1
1760941162013,0.269604,0.252704,1.101080,0.050217,-0.945044,-0.323060,0.001267,1
1760941162029,0.269829,0.252682,1.101105,0.048811,-0.945402,-0.322228,0.001202,1
1760941162049,0.270021,0.252862,1.101290,0.056890,-0.945025,-0.322006,0.001616,1
1760941162065,0.270259,0.252898,1.101260,0.056193,-0.944976,-0.322274,0.001584,1
1760941162081,0.270452,0.253078,1.101445,0.051852,-0.944860,-0.323340,0.001356,1
1760941162097,0.270738,0.253511,1.101580,0.047690,-0.945252,-0.322836,0.001149,1
1760941162113,0.270953,0.253742,1.101360,0.030976,-0.948697,-0.314665,0.000486,1
1760941162129,0.271296,0.254365,1.101332,0.028159,-0.945724,-0.323748,0.000404,1
1760941162150,0.271428,0.254595,1.101053,0.022744,-0.947684,-0.318397,0.000262,1
1760941162165,0.271860,0.254812,1.101208,0.024462,-0.946619,-0.321424,0.000306,1
1760941162181,0.272079,0.255131,1.100964,0.013145,-0.946821,-0.321492,0.000088,1
1760941162197,0.272060,0.255311,1.100392,0.023766,-0.946045,-0.323163,0.000286,1
1760941162213,0.272316,0.255948,1.100687,0.028107,-0.943197,-0.331043,0.000398,1
1760941162229,0.272554,0.255985,1.100656,0.038244,-0.942982,-0.330639,0.000736,1
1760941162249,0.272791,0.256802,1.100379,0.038585,-0.944398,-0.326533,0.000749,1
1760941162265,0.272833,0.256933,1.100271,0.030897,-0.941783,-0.334799,0.000482,1
1760941162281,0.272834,0.257194,1.099996,0.041886,-0.943174,-0.329648,0.000875,1
1760941162297,0.273157,0.257738,1.099669,0.043563,-0.942604,-0.331056,0.000942,1
1760941162313,0.273681,0.258485,1.099880,0.022094,-0.950182,-0.310912,0.000243,1
1760941162329,0.273681,0.258746,1.099606,0.043689,-0.947950,-0.315407,0.000945,1
1760941162349,0.273722,0.259416,1.099848,0.058893,-0.946746,-0.316545,0.001725,1
1760941162367,0.274247,0.260165,1.100060,-0.022070,-0.909520,-0.415074,0.000250,1
1760941162383,0.274310,0.260885,1.099895,-0.034830,-0.888582,-0.457393,0.000623,1
1760941162397,0.274195,0.261417,1.099867,-0.036548,-0.886208,-0.461844,0.000692,1
1760941162413,0.274485,0.262115,1.099726,-0.185357,-0.980560,-0.060096,0.023091,1
1760941162429,0.274724,0.262152,1.099695,-0.062392,-0.899917,-0.431569,0.001975,1
1760941162449,0.275024,0.262927,1.099882,-0.163756,-0.983645,-0.072876,0.017782,1
1760941162465,0.275457,0.263147,1.100037,-0.100704,-0.889709,-0.445253,0.005158,1
1760941162481,0.275652,0.263329,1.100223,-0.089666,-0.897817,-0.431122,0.004163,1
1760941162497,0.275891,0.263367,1.100192,-0.084092,-0.891621,-0.444889,0.003733,1
1760941162513,0.276150,0.264012,1.100488,-0.101497,-0.897115,-0.429946,0.005470,1
1760941162529,0.276150,0.264012,1.100488,-0.091062,-0.905368,-0.414724,0.004454,1
1760941162549,0.276345,0.264195,1.100674,-0.059178,-0.905897,-0.419338,0.001859,1
1760941162565,0.276380,0.264303,1.100208,-0.059563,-0.895874,-0.440293,0.001873,1
1760941162581,0.276453,0.263899,1.100068,-0.051544,-0.890766,-0.451529,0.001400,1
1760941162597,0.276453,0.263899,1.100068,-0.039589,-0.888545,-0.457076,0.000838,1
1760941162613,0.276712,0.264544,1.100364,-0.047364,-0.897624,-0.438207,0.001191,1
