timestamp,landmark_index,landmark_name,x,y,z,rx,ry,rz
1754660363649,0,WRIST,-0.012708,0.037354,0.655754,-1.031329,2.683605,-0.380786
1754660363687,0,WRIST,-0.012974,0.033980,0.658735,-1.016138,2.683793,-0.372147
1754660363758,0,WRIST,-0.012657,0.030414,0.660139,-1.017234,2.691866,-0.411221
1754660363805,0,WRIST,-0.012466,0.027006,0.662648,-1.016294,2.713053,-0.401478
1754660363853,0,WRIST,-0.012572,0.023906,0.667339,-1.009956,2.722237,-0.392037
1754660363896,0,WRIST,-0.014577,0.021518,0.674335,-1.017113,2.719019,-0.373809
1754660363938,0,WRIST,-0.018222,0.019391,0.681162,-1.047980,2.738606,-0.266535
1754660363980,0,WRIST,-0.021152,0.018001,0.688204,-1.043405,2.722098,-0.328772
1754660364021,0,WRIST,-0.023138,0.018186,0.694243,-1.049529,2.700347,-0.299361
1754660364063,0,WRIST,-0.023401,0.017731,0.694910,-1.048412,2.710507,-0.367039
1754660364105,0,WRIST,-0.022166,0.017755,0.692604,-1.051010,2.714579,-0.309264
1754660364147,0,WRIST,-0.020211,0.017671,0.690827,-1.050082,2.710402,-0.308875
1754660364190,0,WRIST,-0.017723,0.017478,0.689976,-1.040299,2.691393,-0.280330
1754660364231,0,WRIST,-0.015914,0.017457,0.689855,-1.042045,2.707698,-0.353007
1754660364272,0,WRIST,-0.014526,0.017635,0.689912,-1.052455,2.704239,-0.276144
1754660364314,0,WRIST,-0.012427,0.017112,0.690048,-1.037364,2.694060,-0.342402
1754660364355,0,WRIST,-0.008745,0.014239,0.691124,-1.018210,2.723088,-0.334375
1754660364396,0,WRIST,-0.002174,0.008743,0.693658,-0.982814,2.720179,-0.392183
1754660364437,0,WRIST,0.006952,0.001545,0.696405,-0.941803,2.731385,-0.435736
1754660364479,0,WRIST,0.015835,-0.006542,0.699860,-0.890384,2.742626,-0.448974
1754660364522,0,WRIST,0.023575,-0.014110,0.703462,-0.857798,2.752547,-0.406255
1754660364565,0,WRIST,0.030783,-0.021780,0.708240,-0.802012,2.755287,-0.448762
1754660364608,0,WRIST,0.036094,-0.027778,0.711201,-0.778256,2.752479,-0.412773
1754660364651,0,WRIST,0.039764,-0.032143,0.713129,-0.757563,2.753888,-0.443834
1754660364695,0,WRIST,0.042576,-0.036287,0.713939,-0.747150,2.771758,-0.437784
1754660364738,0,WRIST,0.045980,-0.042021,0.715048,-0.707438,2.773892,-0.434317
1754660364782,0,WRIST,0.050231,-0.048915,0.716527,-0.675152,2.768688,-0.456852
1754660364824,0,WRIST,0.053719,-0.054352,0.716726,-0.649387,2.769496,-0.445441
1754660364867,0,WRIST,0.054979,-0.055506,0.717126,-0.662496,2.735980,-0.458874
1754660364910,0,WRIST,0.052095,-0.052285,0.716595,-0.681495,2.762856,-0.387396
1754660364953,0,WRIST,0.047126,-0.046805,0.716077,-0.710830,2.751537,-0.375154
1754660364996,0,WRIST,0.040592,-0.040245,0.715210,-0.752689,2.735979,-0.348770
1754660365037,0,WRIST,0.034141,-0.032066,0.712575,-0.786107,2.712151,-0.339521
1754660365079,0,WRIST,0.027120,-0.022309,0.708760,-0.830777,2.704811,-0.312798
1754660365122,0,WRIST,0.020463,-0.012065,0.704203,-0.887633,2.693774,-0.288673
