timestamp,landmark_index,landmark_name,x,y,z,rx,ry,rz
1758164041146,0,WRIST,-0.181128,0.211669,1.316211,-2.358805,1.801198,0.083603
1758164041162,0,WRIST,-0.181157,0.211412,1.315402,-2.368166,1.806538,0.077711
1758164041179,0,WRIST,-0.180894,0.211256,1.315157,-2.365199,1.804600,0.085688
1758164041199,0,WRIST,-0.180937,0.210627,1.314547,-2.364145,1.803662,0.079106
1758164041215,0,WRIST,-0.180937,0.210627,1.314547,-2.362070,1.804382,0.080773
1758164041230,0,WRIST,-0.180945,0.210329,1.313324,-2.360667,1.803677,0.084614
1758164041246,0,WRIST,-0.180945,0.210329,1.313324,-2.329694,1.781390,-0.001245
1758164041262,0,WRIST,-0.180945,0.210329,1.313324,-2.373617,1.815559,0.070531
1758164041278,0,WRIST,-0.181040,0.210084,1.312849,-2.367900,1.810548,0.091801
1758164041300,0,WRIST,-0.180778,0.209929,1.312605,-2.370106,1.810898,0.075208
1758164041314,0,WRIST,-0.180778,0.209929,1.312605,-2.369459,1.813228,0.090658
1758164041329,0,WRIST,-0.180555,0.209985,1.312674,-2.366452,1.810330,0.096308
1758164041347,0,WRIST,-0.180460,0.210230,1.313148,-2.365973,1.810255,0.106645
1758164041362,0,WRIST,-0.180161,0.210194,1.313138,-2.360404,1.802467,0.105708
1758164041378,0,WRIST,-0.180161,0.210194,1.313138,-2.369795,1.811630,0.092119
1758164041399,0,WRIST,-0.180066,0.210438,1.313612,-2.372033,1.811847,0.073017
1758164041414,0,WRIST,-0.180066,0.210438,1.313612,-2.365355,1.805303,0.094695
1758164041431,0,WRIST,-0.179813,0.210751,1.313654,-2.372042,1.812586,0.103894
1758164041449,0,WRIST,-0.179565,0.211100,1.313777,-2.338292,1.779125,0.090334
1758164041463,0,WRIST,-0.179470,0.211344,1.314252,-2.375981,1.814245,0.091802
1758164041481,0,WRIST,-0.179470,0.211344,1.314252,-2.345189,1.781705,0.073780
1758164041499,0,WRIST,-0.179470,0.211344,1.314252,-2.340706,1.776765,0.069307
1758164041514,0,WRIST,-0.179247,0.211400,1.314321,-2.377403,1.816298,0.086239
1758164041531,0,WRIST,-0.179014,0.211377,1.314642,-2.384560,1.822427,0.090761
