timestamp,landmark_index,landmark_name,x,y,z,rx,ry,rz
1756802368402,0,WRIST,0.200978,0.199318,1.199341,1.230870,-2.458536,-0.743560
1756802368411,0,WRIST,0.201253,0.198812,1.199145,1.330257,-2.536532,-0.328733
1756802368427,0,WRIST,0.201190,0.198196,1.199184,1.229291,-2.452590,-0.750005
1756802368444,0,WRIST,0.201239,0.197350,1.199195,1.332921,-2.536167,-0.321678
1756802368460,0,WRIST,0.201204,0.196448,1.199111,1.352998,-2.558438,-0.338124
1756802368477,0,WRIST,0.201242,0.195490,1.199190,1.232002,-2.454058,-0.762345
1756802368494,0,WRIST,0.200742,0.194591,1.199100,1.341693,-2.550646,-0.342159
1756802368509,0,WRIST,0.200645,0.193626,1.199303,1.342499,-2.552296,-0.335142
1756802368526,0,WRIST,0.200514,0.192534,1.199183,1.230682,-2.454538,-0.761453
1756802368543,0,WRIST,0.199637,0.191540,1.198888,1.232685,-2.456964,-0.766233
1756802368559,0,WRIST,0.199341,0.191041,1.199378,1.330019,-2.535106,-0.319995
1756802368577,0,WRIST,0.198601,0.189832,1.199444,1.332297,-2.537695,-0.318566
1756802368595,0,WRIST,0.198214,0.188847,1.199464,1.239186,-2.461150,-0.762867
1756802368609,0,WRIST,0.197444,0.188235,1.200013,1.234009,-2.456392,-0.763309
1756802368627,0,WRIST,0.196609,0.187228,1.200075,1.230729,-2.456172,-0.761302
1756802368642,0,WRIST,0.195849,0.186729,1.200555,1.341921,-2.558819,-0.346737
1756802368657,0,WRIST,0.195309,0.186861,1.201265,1.237541,-2.459069,-0.759848
1756802368676,0,WRIST,0.194526,0.187071,1.202161,1.340358,-2.562323,-0.347914
1756802368694,0,WRIST,0.193811,0.186815,1.202855,1.228822,-2.458108,-0.756739
1756802368710,0,WRIST,0.193213,0.186586,1.203416,1.326160,-2.540174,-0.328526
1756802368728,0,WRIST,0.192487,0.186932,1.204907,1.327678,-2.544280,-0.327976
1756802368744,0,WRIST,0.191954,0.187177,1.205551,1.225898,-2.458709,-0.748735
1756802368758,0,WRIST,0.191860,0.187159,1.206071,1.233349,-2.463270,-0.750380
1756802368776,0,WRIST,0.191882,0.187168,1.206384,1.324418,-2.548862,-0.332580
1756802368794,0,WRIST,0.191695,0.187390,1.206992,1.338837,-2.573747,-0.358370
1756802368810,0,WRIST,0.192131,0.187675,1.207125,1.226830,-2.458459,-0.749047
1756802368828,0,WRIST,0.192154,0.187684,1.207439,1.224672,-2.457905,-0.748787
1756802368844,0,WRIST,0.192333,0.187935,1.207573,1.225949,-2.459805,-0.740146
1756802368857,0,WRIST,0.192979,0.188184,1.207714,1.339629,-2.574435,-0.357461
1756802368878,0,WRIST,0.193030,0.188685,1.207749,1.338664,-2.574883,-0.358143
1756802368894,0,WRIST,0.193007,0.188676,1.207435,1.333581,-2.575633,-0.360855
1756802368913,0,WRIST,0.192917,0.188912,1.207774,1.223159,-2.459722,-0.739864
1756802368926,0,WRIST,0.192974,0.189274,1.207925,1.222960,-2.464889,-0.734174
1756802368944,0,WRIST,0.192978,0.189528,1.207741,1.221764,-2.464391,-0.725393
1756802368958,0,WRIST,0.192747,0.189555,1.207419,1.311250,-2.549448,-0.350006
1756802368976,0,WRIST,0.192728,0.190522,1.207658,1.313587,-2.557767,-0.349599
1756802368994,0,WRIST,0.192470,0.190489,1.207660,1.310263,-2.547616,-0.350713
1756802369010,0,WRIST,0.192508,0.191096,1.207313,1.226255,-2.479068,-0.736917
1756802369026,0,WRIST,0.192294,0.191270,1.207189,1.216867,-2.473176,-0.719394
1756802369042,0,WRIST,0.192100,0.191848,1.207408,1.231764,-2.492742,-0.739352
1756802369058,0,WRIST,0.191873,0.192127,1.206902,1.225025,-2.480276,-0.706346
1756802369076,0,WRIST,0.191861,0.192233,1.206520,1.300867,-2.555141,-0.370932
1756802369094,0,WRIST,0.191747,0.192458,1.206468,1.299796,-2.554100,-0.366277
1756802369111,0,WRIST,0.191741,0.192596,1.206352,1.222248,-2.481971,-0.713291
1756802369125,0,WRIST,0.191484,0.192563,1.206354,1.226750,-2.481110,-0.699031
1756802369144,0,WRIST,0.191494,0.192678,1.206286,1.227228,-2.487292,-0.704332
1756802369157,0,WRIST,0.191751,0.192712,1.206284,1.220079,-2.478694,-0.709390
1756802369176,0,WRIST,0.191819,0.192465,1.205633,1.226093,-2.491189,-0.733716
1756802369194,0,WRIST,0.191989,0.192602,1.205834,1.221293,-2.487070,-0.737654
1756802369209,0,WRIST,0.192208,0.192682,1.205774,1.219930,-2.477919,-0.709428
1756802369225,0,WRIST,0.192635,0.192853,1.205974,1.217801,-2.476244,-0.709993
1756802369242,0,WRIST,0.192972,0.193186,1.205296,1.303811,-2.557176,-0.362870
