timestamp,landmark_index,landmark_name,x,y,z,rx,ry,rz
1758164040899,0,WRIST,0.277702,0.171282,1.360182,-1.203649,2.739693,-0.626173
1758164040914,0,WRIST,0.277618,0.170705,1.360048,-1.209753,2.862078,-0.307594
1758164040930,0,WRIST,0.277931,0.170706,1.359994,-1.209294,2.862056,-0.314109
1758164040947,0,WRIST,0.277931,0.170706,1.359994,-1.210076,2.863743,-0.310904
1758164040962,0,WRIST,0.277664,0.170895,1.360027,1.215407,-2.856555,0.343391
1758164040978,0,WRIST,0.277598,0.170332,1.359350,-1.210317,2.866870,-0.299294
1758164040998,0,WRIST,0.277801,0.170477,1.359671,1.212908,-2.858439,0.328475
1758164041014,0,WRIST,0.277460,0.170750,1.359707,1.212936,-2.859040,0.328410
1758164041030,0,WRIST,0.277415,0.170560,1.359728,-1.208057,2.866194,-0.304152
1758164041046,0,WRIST,0.277415,0.170560,1.359728,-1.210828,2.858912,-0.310634
1758164041062,0,WRIST,0.277598,0.170332,1.359350,-1.210397,2.864910,-0.302692
1758164041078,0,WRIST,0.277582,0.170552,1.359225,-1.210766,2.868490,-0.299281
1758164041098,0,WRIST,0.277334,0.170216,1.358926,-1.216465,2.847181,-0.322825
1758164041114,0,WRIST,0.277334,0.170216,1.358926,-1.209685,2.857814,-0.304528
1758164041130,0,WRIST,0.277318,0.170208,1.358587,-1.208774,2.859815,-0.298797
1758164041146,0,WRIST,0.277115,0.170063,1.358267,-1.209748,2.856742,-0.304965
1758164041162,0,WRIST,0.276702,0.170300,1.358601,-1.210750,2.862077,-0.304475
1758164041179,0,WRIST,0.276885,0.170073,1.358224,-1.209770,2.860431,-0.304386
1758164041199,0,WRIST,0.276930,0.170263,1.358203,-1.220045,2.874154,-0.331468
1758164041215,0,WRIST,0.276727,0.170118,1.357884,-1.211532,2.762704,-0.655475
1758164041230,0,WRIST,0.276742,0.170520,1.357399,-1.211217,2.862494,-0.303332
1758164041246,0,WRIST,0.276742,0.170520,1.357399,-1.217724,2.862302,-0.342998
1758164041262,0,WRIST,0.276539,0.170375,1.357080,-1.217604,2.779469,-0.637493
1758164041278,0,WRIST,0.276024,0.170229,1.356814,1.222834,-2.869932,0.347879
1758164041300,0,WRIST,0.275960,0.169667,1.356140,1.220985,-2.864003,0.343272
1758164041314,0,WRIST,0.275677,0.169284,1.355608,1.212728,-2.861816,0.324401
1758164041329,0,WRIST,0.275475,0.169139,1.355289,-1.213359,2.762568,-0.652421
1758164041347,0,WRIST,0.274915,0.168804,1.355045,-1.207059,2.745883,-0.623504
1758164041362,0,WRIST,0.275475,0.169139,1.355289,-1.220315,2.870309,-0.344891
1758164041378,0,WRIST,0.275227,0.168805,1.354991,-1.217636,2.860192,-0.336505
1758164041399,0,WRIST,0.275227,0.168805,1.354991,-1.206968,2.748826,-0.616321
1758164041414,0,WRIST,0.274700,0.168595,1.355127,-1.212203,2.748854,-0.622740
1758164041431,0,WRIST,0.274715,0.168603,1.355463,1.219436,-2.860985,0.341973
1758164041449,0,WRIST,0.275460,0.168738,1.355771,-1.211607,2.858819,-0.299430
1758164041463,0,WRIST,0.275147,0.168737,1.355825,1.230967,-2.865190,0.351649
1758164041481,0,WRIST,0.275166,0.169109,1.356519,-1.213888,2.748544,-0.627560
1758164041499,0,WRIST,0.275414,0.169444,1.356817,1.229836,-2.856868,0.367760
1758164041514,0,WRIST,0.275696,0.169262,1.357122,-1.211581,2.863496,-0.301046
1758164041531,0,WRIST,0.275632,0.169596,1.357475,1.222545,-2.860548,0.336798
1758164041546,0,WRIST,0.275624,0.169792,1.357649,-1.208353,2.738982,-0.629903
1758164041563,0,WRIST,0.275936,0.169792,1.357596,-1.214985,2.859775,-0.308624
1758164041579,0,WRIST,0.275899,0.169407,1.357442,1.220273,-2.860042,0.333251
1758164041600,0,WRIST,0.275936,0.169792,1.357596,-1.209700,2.740019,-0.633884
1758164041614,0,WRIST,0.275854,0.169782,1.357692,1.220520,-2.861527,0.333662
1758164041633,0,WRIST,0.275817,0.169396,1.357539,-1.216064,2.753014,-0.665026
1758164041648,0,WRIST,0.275624,0.169792,1.357649,1.213287,-2.855845,0.330723
1758164041662,0,WRIST,0.275586,0.169406,1.357496,-1.217127,2.757674,-0.659485
1758164041678,0,WRIST,0.275624,0.169792,1.357649,-1.211293,2.746740,-0.625759
1758164041703,0,WRIST,0.275486,0.170209,1.358004,-1.212562,2.743510,-0.632834
1758164041715,0,WRIST,0.275624,0.169792,1.357649,-1.209903,2.739544,-0.633234
1758164041730,0,WRIST,0.275440,0.170019,1.358025,-1.212591,2.742564,-0.635627
1758164041746,0,WRIST,0.275733,0.169647,1.357276,-1.212270,2.861896,-0.301854
1758164041762,0,WRIST,0.275696,0.169262,1.357122,-1.212135,2.862714,-0.289129
1758164041778,0,WRIST,0.276110,0.169025,1.356790,-1.215492,2.747318,-0.631372
1758164041799,0,WRIST,0.276080,0.168616,1.356936,1.219177,-2.865296,0.319613
1758164041815,0,WRIST,0.276568,0.168187,1.355995,-1.211093,2.745242,-0.625865
1758164041831,0,WRIST,0.276522,0.167997,1.356017,-1.211378,2.868174,-0.292237
1758164041846,0,WRIST,0.277165,0.167188,1.355499,-1.223209,2.869202,-0.330536
1758164041863,0,WRIST,0.277363,0.166742,1.355248,-1.212921,2.743480,-0.640934
1758164041878,0,WRIST,0.277957,0.165718,1.354313,1.221389,-2.872781,0.321839
1758164041898,0,WRIST,0.278145,0.164737,1.353637,-1.220763,2.866689,-0.303511
1758164041914,0,WRIST,0.278824,0.164313,1.353272,-1.204224,2.724245,-0.654004
1758164041930,0,WRIST,0.279444,0.162915,1.351856,-1.226635,2.875304,-0.310328
1758164041946,0,WRIST,0.279797,0.161374,1.350460,-1.219438,2.870117,-0.281087
1758164041962,0,WRIST,0.279924,0.160205,1.349478,-1.228659,2.873984,-0.310126
1758164041979,0,WRIST,0.280709,0.158812,1.347576,-1.218598,2.866165,-0.280079
1758164041998,0,WRIST,0.280883,0.157516,1.345697,1.227645,-2.867066,0.312821
1758164042018,0,WRIST,0.281479,0.155762,1.344482,-1.218142,2.734579,-0.646154
1758164042030,0,WRIST,0.281926,0.154650,1.342634,-1.227564,2.756498,-0.669370
1758164042046,0,WRIST,0.282264,0.153142,1.340077,1.230315,-2.868799,0.310135
1758164042062,0,WRIST,0.282400,0.152036,1.338296,-1.218943,2.737101,-0.636736
1758164042078,0,WRIST,0.282966,0.150528,1.335798,1.230629,-2.871019,0.308227
1758164042099,0,WRIST,0.283112,0.148713,1.332800,-1.227690,2.874360,-0.282354
1758164042114,0,WRIST,0.283317,0.147850,1.330824,-1.226431,2.869248,-0.280987
1758164042130,0,WRIST,0.283714,0.146623,1.327911,1.230347,-2.863095,0.316886
1758164042146,0,WRIST,0.283900,0.145198,1.325093,-1.222384,2.737840,-0.634599
1758164042162,0,WRIST,0.284094,0.144360,1.321989,1.232916,-2.863397,0.321597
1758164042178,0,WRIST,0.283970,0.143107,1.317173,-1.220950,2.743853,-0.619728
